24,14,"Tellement vrai ! Mon berger allemand et mon siamois dorment ensemble tous les soirs."
24,9,"Au début c'était compliqué chez moi, mais avec du temps et de la patience ils sont inséparables."
24,27,"Super article, très instructif pour les personnes qui hésitent encore à sauter le pas."
24,21,"Je confirme pour les odeurs, la séparation des pièces au départ a sauvé la cohabitation !"
24,11,"Mes deux monstres passent leur temps à se courir après, c'est un vrai spectacle au quotidien."
24,29,"Est-ce que cela fonctionne aussi bien si le chien est déjà adulte et qu'on adopte un chaton ?"
24,18,"Magnifique texte, cela change des clichés habituels sur la rivalité entre ces deux espèces."
24,15,"Le toilettage mutuel c'est le signe ultime que c'est gagné, c'est tellement mignon à voir."
24,23,"Chez moi le chat a pris le dessus, c'est lui le vrai boss de la maison face au labrador !"
24,12,"Merci pour ces précieux conseils, je vais tenter l'introduction progressive dès demain."
