23,11,"Un endroit absolument magique, j'ai eu la chance de le visiter au lever du soleil c'était inoubliable."
23,25,"La symétrie de ce monument est une pure prouesse architecturale pour l'époque."
23,18,"Une magnifique histoire d'amour derrière ce chef-d'œuvre, l'article résume parfaitement son histoire."
23,9,"C'est triste que la pollution menace sa blancheur, j'espère que les restaurations vont le préserver."
23,21,"Le marbre blanc avec les incrustations de pierres précieuses est un travail d'orfèvre incroyable."
23,14,"Un de mes plus grands rêves de voyage, cet article me donne encore plus envie d'y aller."
23,29,"Situé au bord de la rivière Yamuna, le cadre architectural global est tout simplement grandiose."
23,16,"La perspective depuis les jardins avec le reflet sur l'eau est iconique, une vraie merveille."
23,27,"Merci pour ces précisions historiques, on oublie souvent le contexte de sa construction."
23,12,"L'architecture moghole dans toute sa splendeur, l'Inde possède vraiment un patrimoine unique."
