25,19,"Le chat européen est tellement sous-coté, le mien est d'une gentillesse incroyable !"
25,10,"C'est vrai qu'on fait souvent la confusion avec le chat de gouttière, merci pour la clarification."
25,26,"Une robustesse à toute épreuve, je confirme. Le mien n'est jamais malade à bientôt 14 ans."
25,12,"Le mien a un pelage tabby magnifique, on dirait un mini tigre de salon."
25,22,"Très bon résumé de leur caractère : indépendants mais tellement proches de nous quand ils veulent."
25,28,"Le compagnon de famille idéal, mes enfants l'adorent et il est d'une patience d'ange."
25,15,"Le mien vit en appartement et s'adapte parfaitement, il passe ses journées à regarder par la fenêtre."
25,9,"Un excellent chasseur en effet ! Les souris du jardin n'ont aucune chance avec lui."
25,24,"La mienne est toute blanche, une vraie perle. Très affectueuse et toujours en train de ronronner."
25,17,"Merci pour cet article complet sur cette race qui mérite vraiment d'être plus connue."
